FECHA (YYMMDD);HORA (HHMM);;
180113;2100;68;
180113;2200;74;
180113;2300;73;
180114;0000;73;
180114;0100;75;
180114;0200;75;
180114;0300;76;
180114;0400;78;
180114;0500;81;
180114;0600;82;
180114;0700;79;
180114;0800;74;
180114;0900;68;
180114;1000;62;
180114;1100;57;
180114;1200;53;
180114;1300;50;
180114;1400;48;
180114;1500;49;
180114;1600;51;
180114;1700;55;
180114;1800;59;
180114;1900;61;
180114;2000;67;
180114;2100;73;
180114;2200;78;
180114;2300;84;
180115;0000;86;
180115;0100;86;
180115;0200;91;
180115;0300;90;
180115;0400;89;
180115;0500;92;
180115;0600;94;
180115;0700;91;
180115;0800;88;
180115;0900;70;
180115;1000;64;
180115;1100;58;
180115;1200;53;
180115;1300;55;
180115;1400;60;
180115;1500;61;
180115;1600;60;
180115;1700;61;
180115;1800;62;
180115;1900;62;
180115;2000;68;
180115;2100;67;
180115;2200;70;
180115;2300;74;
180116;0000;79;
180116;0100;86;
180116;0200;86;
180116;0300;87;
180116;0400;91;
180116;0500;93;
180116;0600;94;
180116;0700;92;
180116;0800;83;
180116;0900;68;
180116;1000;59;
180116;1100;52;
180116;1200;43;
180116;1300;37;
180116;1400;45;
180116;1500;47;
180116;1600;48;
180116;1700;48;
180116;1800;48;
180116;1900;53;
180116;2000;62;
180116;2100;69;
180116;2200;76;
180116;2300;80;
180117;0000;83;
180117;0100;86;
180117;0200;89;
180117;0300;91;
180117;0400;93;
180117;0500;95;
180117;0600;96;
180117;0700;94;
180117;0800;78;
180117;0900;65;
180117;1000;55;
180117;1100;52;
180117;1200;49;
180117;1300;50;
180117;1400;52;
180117;1500;53;
180117;1600;54;
180117;1700;54;
180117;1800;56;
180117;1900;63;
180117;2000;71;
180117;2100;77;
180117;2200;81;
180117;2300;85;
180118;0000;90;
180118;0100;92;
180118;0200;94;
180118;0300;96;
180118;0400;96;
180118;0500;96;
180118;0600;96;
180118;0700;92;
180118;0800;77;
180118;0900;67;
180118;1000;60;
180118;1100;56;
180118;1200;50;
180118;1300;46;
180118;1400;44;
180118;1500;43;
180118;1600;49;
180118;1700;52;
180118;1800;52;
180118;1900;57;
180118;2000;61;
180118;2100;67;
180118;2200;78;
180118;2300;83;
180119;0000;83;
180119;0100;85;
180119;0200;89;
180119;0300;90;
180119;0400;90;
180119;0500;92;
180119;0600;89;
180119;0700;78;
180119;0800;65;
180119;0900;58;
180119;1000;51;
180119;1100;46;
180119;1200;44;
180119;1300;42;
180119;1400;39;
180119;1500;44;
180119;1600;45;
180119;1700;47;
180119;1800;53;
180119;1900;62;
180119;2000;75;
180119;2100;83;
180119;2200;86;
180119;2300;88;
180120;0000;91;
180120;0100;93;
180120;0200;94;
180120;0300;95;
180120;0400;95;
180120;0500;95;
180120;0600;95;
180120;0700;92;
180120;0800;87;
180120;0900;81;
180120;1000;72;
180120;1100;65;
180120;1200;59;
180120;1300;55;
180120;1400;54;
180120;1500;53;
180120;1600;53;
180120;1700;55;
180120;1800;57;
180120;1900;61;
180120;2000;72;
180120;2100;79;
180120;2200;84;
180120;2300;87;
180121;0000;89;
180121;0100;91;
180121;0200;93;
180121;0300;93;
180121;0400;90;
180121;0500;92;
180121;0600;94;
180121;0700;92;
180121;0800;85;
180121;0900;75;
180121;1000;62;
180121;1100;57;
180121;1200;50;
180121;1300;43;
180121;1400;45;
180121;1500;44;
180121;1600;45;
180121;1700;47;
180121;1800;49;
180121;1900;54;
180121;2000;67;
180121;2100;76;
180121;2200;80;
180121;2300;83;
180122;0000;85;
180122;0100;88;
180122;0200;87;
180122;0300;87;
180122;0400;88;
180122;0500;89;
180122;0600;88;
180122;0700;86;
180122;0800;83;
180122;0900;77;
180122;1000;68;
180122;1100;59;
180122;1200;52;
180122;1300;47;
180122;1400;48;
180122;1500;46;
180122;1600;46;
180122;1700;42;
180122;1800;48;
180122;1900;59;
180122;2000;69;
180122;2100;73;
180122;2200;79;
180122;2300;79;
180123;0000;82;
180123;0100;85;
180123;0200;87;
180123;0300;89;
180123;0400;93;
180123;0500;95;
180123;0600;97;
180123;0700;97;
180123;0800;86;
180123;0900;71;
180123;1000;59;
180123;1100;50;
180123;1200;45;
180123;1300;42;
180123;1400;39;
180123;1500;38;
180123;1600;44;
180123;1700;44;
180123;1800;45;
180123;1900;48;
180123;2000;53;
180123;2100;61;
180123;2200;69;
180123;2300;72;
180124;0000;76;
180124;0100;80;
180124;0200;81;
180124;0300;82;
180124;0400;84;
180124;0500;84;
180124;0600;82;
180124;0700;75;
180124;0800;66;
180124;0900;59;
180124;1000;54;
180124;1100;49;
180124;1200;45;
180124;1300;39;
180124;1400;40;
180124;1500;40;
180124;1600;43;
180124;1700;45;
180124;1800;49;
180124;1900;55;
180124;2000;69;
180124;2100;79;
180124;2200;83;
180124;2300;87;
180125;0000;89;
180125;0100;89;
180125;0200;90;
180125;0300;92;
180125;0400;92;
180125;0500;93;
180125;0600;93;
180125;0700;91;
180125;0800;85;
180125;0900;69;
180125;1000;55;
180125;1100;;
180125;1200;48;
180125;1300;43;
180125;1400;44;
180125;1500;44;
180125;1600;43;
180125;1700;47;
180125;1800;52;
180125;1900;64;
180125;2000;76;
180125;2100;81;
180125;2200;84;
180125;2300;83;
180126;0000;81;
180126;0100;80;
180126;0200;79;
180126;0300;78;
180126;0400;78;
180126;0500;79;
180126;0600;80;
180126;0700;77;
180126;0800;76;
180126;0900;73;
180126;1000;73;
180126;1100;70;
180126;1200;63;
180126;1300;63;
180126;1400;62;
180126;1500;60;
180126;1600;53;
180126;1700;51;
180126;1800;52;
180126;1900;55;
180126;2000;62;
180126;2100;65;
180126;2200;69;
180126;2300;71;
180127;0000;67;
180127;0100;72;
180127;0200;87;
180127;0300;93;
180127;0400;94;
180127;0500;95;
180127;0600;95;
180127;0700;94;
180127;0800;92;
180127;0900;87;
180127;1000;70;
180127;1100;56;
180127;1200;50;
180127;1300;47;
180127;1400;42;
180127;1500;44;
180127;1600;46;
180127;1700;49;
180127;1800;51;
180127;1900;56;
180127;2000;64;
180127;2100;69;
180127;2200;73;
180127;2300;77;
180128;0000;80;
180128;0100;84;
180128;0200;87;
180128;0300;90;
180128;0400;92;
180128;0500;93;
180128;0600;94;
180128;0700;92;
180128;0800;75;
180128;0900;64;
180128;1000;51;
180128;1100;42;
180128;1200;39;
180128;1300;34;
180128;1400;28;
180128;1500;38;
180128;1600;42;
180128;1700;44;
180128;1800;47;
180128;1900;54;
180128;2000;63;
180128;2100;72;
180128;2200;81;
180128;2300;85;
180129;0000;89;
180129;0100;93;
180129;0200;95;
180129;0300;95;
180129;0400;95;
180129;0500;96;
180129;0600;95;
180129;0700;89;
180129;0800;74;
180129;0900;62;
180129;1000;55;
180129;1100;49;
180129;1200;45;
180129;1300;42;
180129;1400;43;
180129;1500;46;
180129;1600;50;
180129;1700;56;
180129;1800;63;
180129;1900;70;
180129;2000;76;
180129;2100;79;
180129;2200;81;
180129;2300;83;
180130;0000;84;
180130;0100;88;
180130;0200;93;
180130;0300;94;
180130;0400;91;
180130;0500;87;
180130;0600;86;
180130;0700;82;
180130;0800;71;
180130;0900;74;
180130;1000;72;
180130;1100;60;
180130;1200;59;
180130;1300;51;
180130;1400;42;
180130;1500;39;
180130;1600;41;
180130;1700;46;
180130;1800;45;
180130;1900;48;
180130;2000;56;
180130;2100;63;
180130;2200;69;
180130;2300;72;
180131;0000;73;
180131;0100;71;
180131;0200;70;
180131;0300;71;
180131;0400;74;
180131;0500;77;
180131;0600;80;
180131;0700;73;
180131;0800;59;
180131;0900;48;
180131;1000;41;
180131;1100;36;
180131;1200;32;
180131;1300;30;
180131;1400;28;
180131;1500;30;
180131;1600;29;
180131;1700;27;
180131;1800;28;
180131;1900;37;
180131;2000;49;
180131;2100;63;
180131;2200;69;
180131;2300;70;
180201;0000;71;
180201;0100;72;
180201;0200;75;
180201;0300;78;
180201;0400;79;
180201;0500;80;
180201;0600;79;
180201;0700;72;
180201;0800;60;
180201;0900;49;
180201;1000;41;
180201;1100;37;
180201;1200;34;
180201;1300;34;
180201;1400;33;
180201;1500;32;
180201;1600;35;
180201;1700;39;
180201;1800;43;
180201;1900;53;
180201;2000;64;
180201;2100;72;
180201;2200;77;
180201;2300;81;
180202;0000;84;
180202;0100;86;
180202;0200;88;
180202;0300;89;
180202;0400;90;
180202;0500;92;
180202;0600;94;
180202;0700;94;
180202;0800;84;
180202;0900;69;
180202;1000;62;
180202;1100;55;
180202;1200;48;
180202;1300;44;
180202;1400;44;
180202;1500;47;
180202;1600;50;
180202;1700;53;
180202;1800;58;
180202;1900;68;
180202;2000;85;
180202;2100;89;
180202;2200;91;
180202;2300;93;
180203;0000;94;
180203;0100;96;
180203;0200;97;
180203;0300;98;
180203;0400;99;
180203;0500;99;
180203;0600;100;
180203;0700;100;
180203;0800;99;
180203;0900;87;
180203;1000;76;
180203;1100;69;
180203;1200;58;
180203;1300;50;
180203;1400;46;
180203;1500;45;
180203;1600;46;
180203;1700;50;
180203;1800;54;
180203;1900;58;
180203;2000;67;
180203;2100;74;
180203;2200;82;
180203;2300;88;
180204;0000;91;
180204;0100;94;
180204;0200;96;
180204;0300;98;
180204;0400;99;
180204;0500;99;
180204;0600;100;
180204;0700;100;
180204;0800;100;
180204;0900;83;
180204;1000;65;
180204;1100;57;
180204;1200;49;
180204;1300;43;
180204;1400;43;
180204;1500;44;
180204;1600;44;
180204;1700;46;
180204;1800;50;
180204;1900;56;
180204;2000;69;
180204;2100;77;
180204;2200;82;
180204;2300;86;
180205;0000;89;
180205;0100;92;
180205;0200;93;
180205;0300;95;
180205;0400;96;
180205;0500;96;
180205;0600;97;
180205;0700;93;
180205;0800;76;
180205;0900;65;
