FECHA (YYMMDD);HORA (HHMM);;
180101;0100;94;
180101;0200;96;
180101;0300;98;
180101;0400;100;
180101;0500;101;
180101;0600;99;
180101;0700;87;
180101;0800;76;
180101;0900;68;
180101;1000;58;
180101;1100;53;
180101;1200;48;
180101;1300;48;
180101;1400;52;
180101;1500;53;
180101;1600;55;
180101;1700;59;
180101;1800;63;
180101;1900;65;
180101;2000;70;
180101;2100;72;
180101;2200;73;
180101;2300;77;
180102;0000;81;
180102;0100;83;
180102;0200;84;
180102;0300;84;
180102;0400;86;
180102;0500;86;
180102;0600;85;
180102;0700;88;
180102;0800;87;
180102;0900;91;
180102;1000;90;
180102;1100;84;
180102;1200;74;
180102;1300;70;
180102;1400;69;
180102;1500;69;
180102;1600;68;
180102;1700;71;
180102;1800;82;
180102;1900;88;
180102;2000;84;
180102;2100;83;
180102;2200;85;
180102;2300;87;
180103;0000;86;
180103;0100;85;
180103;0200;84;
180103;0300;83;
180103;0400;84;
180103;0500;85;
180103;0600;85;
180103;0700;81;
180103;0800;80;
180103;0900;10;
180103;1000;0;
180103;1100;62;
180103;1200;81;
180103;1300;71;
180103;1400;69;
180103;1500;70;
180103;1600;80;
180103;1700;93;
180103;1800;98;
180103;1900;98;
180103;2000;100;
180103;2100;102;
180103;2200;102;
180103;2300;102;
180104;0000;102;
180104;0100;102;
180104;0200;102;
180104;0300;102;
180104;0400;102;
180104;0500;101;
180104;0600;102;
180104;0700;102;
180104;0800;101;
180104;0900;94;
180104;1000;81;
180104;1100;66;
180104;1200;53;
180104;1300;47;
180104;1400;47;
180104;1500;47;
180104;1600;48;
180104;1700;52;
180104;1800;58;
180104;1900;60;
180104;2000;68;
180104;2100;71;
180104;2200;75;
180104;2300;80;
180105;0000;93;
180105;0100;100;
180105;0200;100;
180105;0300;99;
180105;0400;99;
180105;0500;98;
180105;0600;97;
180105;0700;89;
180105;0800;80;
180105;0900;68;
180105;1000;57;
180105;1100;52;
180105;1200;50;
180105;1300;50;
180105;1400;49;
180105;1500;46;
180105;1600;44;
180105;1700;48;
180105;1800;52;
180105;1900;57;
180105;2000;63;
180105;2100;71;
180105;2200;74;
180105;2300;81;
180106;0000;86;
180106;0100;91;
180106;0200;93;
180106;0300;96;
180106;0400;97;
180106;0500;98;
180106;0600;97;
180106;0700;86;
180106;0800;75;
180106;0900;71;
180106;1000;66;
180106;1100;59;
180106;1200;50;
180106;1300;52;
180106;1400;55;
180106;1500;55;
180106;1600;58;
180106;1700;57;
180106;1800;60;
180106;1900;66;
180106;2000;73;
180106;2100;82;
180106;2200;90;
180106;2300;93;
180107;0000;96;
180107;0100;98;
180107;0200;100;
180107;0300;102;
180107;0400;102;
180107;0500;102;
180107;0600;102;
180107;0700;102;
180107;0800;102;
180107;0900;96;
180107;1000;69;
180107;1100;61;
180107;1200;50;
180107;1300;43;
180107;1400;47;
180107;1500;49;
180107;1600;54;
180107;1700;56;
180107;1800;57;
180107;1900;57;
180107;2000;62;
180107;2100;75;
180107;2200;82;
180107;2300;85;
180108;0000;87;
180108;0100;90;
180108;0200;94;
180108;0300;98;
180108;0400;101;
180108;0500;102;
180108;0600;102;
180108;0700;101;
180108;0800;81;
180108;0900;70;
180108;1000;60;
180108;1100;55;
180108;1200;51;
180108;1300;49;
180108;1400;47;
180108;1500;53;
180108;1600;65;
180108;1700;70;
180108;1800;75;
180108;1900;81;
180108;2000;84;
180108;2100;87;
180108;2200;88;
180108;2300;90;
180109;0000;90;
180109;0100;90;
180109;0200;92;
180109;0300;92;
180109;0400;96;
180109;0500;101;
180109;0600;102;
180109;0700;94;
180109;0800;0;
180109;0900;0;
180109;1000;0;
180109;1100;0;
180109;1200;48;
180109;1300;53;
180109;1400;51;
180109;1500;52;
180109;1600;58;
180109;1700;66;
180109;1800;73;
180109;1900;83;
180109;2000;89;
180109;2100;92;
180109;2200;93;
180109;2300;95;
180110;0000;96;
180110;0100;97;
180110;0200;98;
180110;0300;99;
180110;0400;100;
180110;0500;101;
180110;0600;102;
180110;0700;102;
180110;0800;91;
180110;0900;76;
180110;1000;68;
180110;1100;62;
180110;1200;58;
180110;1300;53;
180110;1400;52;
180110;1500;51;
180110;1600;52;
180110;1700;53;
180110;1800;55;
180110;1900;61;
180110;2000;78;
180110;2100;87;
180110;2200;90;
180110;2300;93;
180111;0000;94;
180111;0100;95;
180111;0200;98;
180111;0300;99;
180111;0400;100;
180111;0500;101;
180111;0600;102;
