FECHA (YYMMDD);HORA (HHMM);;
180111;1700;25,6;
180111;1800;23,5;
180111;1900;21;
180111;2000;17,4;
180111;2100;15,6;
180111;2200;14,5;
180111;2300;13,8;
180112;0000;13,4;
180112;0100;13,3;
180112;0200;12,7;
180112;0300;12,2;
180112;0400;11,9;
180112;0500;11,6;
180112;0600;12,2;
180112;0700;13,4;
180112;0800;14,3;
180112;0900;17,1;
180112;1000;20,5;
180112;1100;21,6;
180112;1200;21,3;
180112;1300;20,8;
180112;1400;19;
180112;1500;20;
180112;1600;21,8;
180112;1700;22,6;
180112;1800;21,4;
180112;1900;18,3;
180112;2000;15,4;
180112;2100;13,4;
180112;2200;12,4;
180112;2300;12,3;
180113;0000;11;
180113;0100;11,7;
180113;0200;10,8;
180113;0300;10,7;
180113;0400;9,5;
180113;0500;8,60001;
180113;0600;9,5;
180113;0700;11,4;
180113;0800;13,8;
180113;0900;16,3;
180113;1000;18,4;
180113;1100;20,4;
180113;1200;21,6;
180113;1300;23;
180113;1400;24;
180113;1500;24,8;
180113;1600;25;
180113;1700;24,1;
180113;1800;23,1;
180113;1900;20,4;
180113;2000;16,8;
180113;2100;14,3;
180113;2200;13,1;
180113;2300;12,3;
180114;0000;11,7;
180114;0100;10,6;
180114;0200;9,5;
180114;0300;8,7;
180114;0400;8,10001;
180114;0500;7,8;
180114;0600;9,3;
180114;0700;12,3;
180114;0800;13,9;
180114;0900;15,7;
180114;1000;17,9;
180114;1100;19,9;
180114;1200;21,6;
180114;1300;23,2;
180114;1400;24;
180114;1500;25,2;
180114;1600;24,4;
180114;1700;22,7;
180114;1800;20,5;
180114;1900;19,1;
180114;2000;16,7;
180114;2100;15,4;
180114;2200;14,2;
180114;2300;13,2;
180115;0000;12,5;
180115;0100;11,6;
180115;0200;10,8;
180115;0300;10,8;
180115;0400;11,4;
180115;0500;11;
180115;0600;10,5;
180115;0700;11,3;
180115;0800;12,7;
180115;0900;16,7;
180115;1000;18,7;
180115;1100;20,2;
180115;1200;21,8;
180115;1300;21,5;
180115;1400;21,8;
180115;1500;21,3;
180115;1600;21,6;
180115;1700;20,2;
180115;1800;17,9;
180115;1900;17,1;
180115;2000;15,4;
180115;2100;14,8;
180115;2200;14,1;
180115;2300;13,1;
180116;0000;12,7;
180116;0100;11,2;
180116;0200;11,4;
180116;0300;11,3;
180116;0400;10,1;
180116;0500;9,10001;
180116;0600;9,3;
180116;0700;11,3;
180116;0800;14,2;
180116;0900;16,6;
180116;1000;19;
180116;1100;20,8;
180116;1200;22,5;
180116;1300;23,8;
180116;1400;23,3;
180116;1500;23,2;
180116;1600;22,2;
180116;1700;20,9;
180116;1800;19,5;
180116;1900;17,6;
180116;2000;15,4;
180116;2100;13,9;
180116;2200;12,9;
180116;2300;12,3;
180117;0000;12;
180117;0100;11,6;
180117;0200;11,2;
180117;0300;10,8;
180117;0400;10,3;
180117;0500;9,8;
180117;0600;10,5;
180117;0700;12,7;
180117;0800;15,4;
180117;0900;17,4;
180117;1000;19,2;
180117;1100;20,9;
180117;1200;22,3;
180117;1300;23,3;
180117;1400;23,2;
180117;1500;23;
180117;1600;22,3;
180117;1700;21,5;
180117;1800;19,8;
180117;1900;18,2;
180117;2000;16,1;
180117;2100;14,6;
180117;2200;13,7;
180117;2300;12,8;
180118;0000;12,2;
180118;0100;11,8;
180118;0200;11,6;
180118;0300;11,3;
180118;0400;10,9;
180118;0500;10,8;
180118;0600;11,3;
180118;0700;13,8;
180118;0800;16,4;
180118;0900;18,6;
180118;1000;20,3;
180118;1100;21,5;
180118;1200;22,9;
180118;1300;24,5;
180118;1400;25,5;
180118;1500;26,4;
180118;1600;24,7;
180118;1700;23,9;
180118;1800;23,6;
180118;1900;21,5;
180118;2000;19,7;
180118;2100;16,5;
180118;2200;14,9;
180118;2300;14,2;
180119;0000;13,8;
180119;0100;13,3;
180119;0200;12,7;
180119;0300;12,6;
180119;0400;12,6;
180119;0500;11,9;
180119;0600;12,7;
180119;0700;15,7;
180119;0800;18;
180119;0900;21,4;
180119;1000;23,8;
180119;1100;25,7;
180119;1200;27;
180119;1300;28,7;
180119;1400;29,3;
180119;1500;29,2;
180119;1600;28,7;
180119;1700;26,9;
180119;1800;24,1;
180119;1900;21,4;
180119;2000;17,3;
180119;2100;15,6;
180119;2200;14,9;
180119;2300;14,4;
180120;0000;13,7;
180120;0100;13,3;
180120;0200;13,1;
180120;0300;13,1;
180120;0400;13,2;
180120;0500;13,2;
180120;0600;13,3;
180120;0700;14,2;
180120;0800;15,6;
180120;0900;17,3;
180120;1000;19,7;
180120;1100;22,2;
180120;1200;23,8;
180120;1300;25,7;
180120;1400;26,6;
180120;1500;27,7;
180120;1600;27,1;
180120;1700;25,6;
180120;1800;23,8;
180120;1900;22,1;
180120;2000;18,7;
180120;2100;16,2;
180120;2200;14,7;
180120;2300;14,1;
180121;0000;13,7;
180121;0100;13,2;
180121;0200;12,9;
180121;0300;12,8;
180121;0400;13,2;
180121;0500;12,9;
180121;0600;12,6;
180121;0700;13,5;
180121;0800;14,7;
180121;0900;16,4;
180121;1000;19,4;
180121;1100;22,2;
180121;1200;23,5;
180121;1300;25,2;
180121;1400;24,5;
180121;1500;23,9;
180121;1600;22,1;
180121;1700;20,6;
180121;1800;19;
180121;1900;17,2;
180121;2000;14,4;
180121;2100;12,7;
180121;2200;12;
180121;2300;11,6;
180122;0000;11,4;
180122;0100;11,3;
180122;0200;11,6;
180122;0300;11,5;
180122;0400;11,4;
180122;0500;11,4;
180122;0600;11,4;
180122;0700;11,7;
180122;0800;12,4;
180122;0900;14,2;
180122;1000;16,9;
180122;1100;19,4;
180122;1200;21,6;
180122;1300;23,3;
180122;1400;22,9;
180122;1500;22,4;
180122;1600;21,3;
180122;1700;20;
180122;1800;18,4;
180122;1900;16,5;
180122;2000;14,4;
180122;2100;13;
180122;2200;12,3;
180122;2300;12,3;
180123;0000;12,6;
180123;0100;12,7;
180123;0200;12,2;
180123;0300;11,7;
180123;0400;11,1;
180123;0500;10,4;
180123;0600;9,8;
180123;0700;10;
180123;0800;13;
180123;0900;15,5;
180123;1000;17,5;
180123;1100;19,9;
180123;1200;21,1;
180123;1300;21,3;
180123;1400;21,9;
180123;1500;22,4;
180123;1600;21,9;
180123;1700;21,6;
180123;1800;20,1;
180123;1900;18,1;
180123;2000;15,4;
180123;2100;13,4;
180123;2200;11,9;
180123;2300;11,1;
180124;0000;10,5;
180124;0100;9,7;
180124;0200;8,2;
180124;0300;7,7;
180124;0400;7,3;
180124;0500;6,5;
180124;0600;7,2;
180124;0700;11,2;
180124;0800;13,6;
180124;0900;15,6;
180124;1000;18;
180124;1100;20;
180124;1200;22,1;
180124;1300;23,9;
180124;1400;23,9;
180124;1500;23,3;
180124;1600;22,1;
180124;1700;20,8;
180124;1800;19,2;
180124;1900;16,6;
180124;2000;13,9;
180124;2100;12,1;
180124;2200;11,2;
180124;2300;10,7;
180125;0000;10,9;
180125;0100;11;
180125;0200;10,7;
180125;0300;10,7;
180125;0400;10,5;
180125;0500;10,3;
180125;0600;10,1;
180125;0700;10,1;
180125;0800;11,6;
180125;0900;15,3;
180125;1000;17,7;
180125;1100;19,8;
180125;1200;22;
180125;1300;24;
180125;1400;24,8;
180125;1500;24,6;
180125;1600;22,9;
180125;1700;20,8;
180125;1800;18,5;
180125;1900;15,8;
180125;2000;13,3;
180125;2100;12,3;
180125;2200;11,8;
180125;2300;11,9;
180126;0000;12,4;
180126;0100;12,5;
180126;0200;12,6;
180126;0300;12,5;
180126;0400;12,4;
180126;0500;12,3;
180126;0600;12,3;
180126;0700;12,5;
180126;0800;13,1;
180126;0900;14,3;
180126;1000;14,6;
180126;1100;15,1;
180126;1200;16;
180126;1300;16;
180126;1400;16,2;
180126;1500;17,1;
180126;1600;19,1;
180126;1700;20;
180126;1800;19,2;
180126;1900;17,5;
180126;2000;15,2;
180126;2100;14,1;
180126;2200;13,1;
180126;2300;12,4;
180127;0000;13,3;
180127;0100;13,7;
180127;0200;12,4;
180127;0300;11,5;
180127;0400;11,5;
180127;0500;11,4;
180127;0600;11,6;
180127;0700;12,2;
180127;0800;13,4;
180127;0900;14,8;
180127;1000;17;
180127;1100;18,5;
180127;1200;19,8;
180127;1300;20,9;
180127;1400;21,9;
180127;1500;21,7;
180127;1600;21,5;
180127;1700;20,8;
180127;1800;19,7;
180127;1900;17,4;
180127;2000;15,3;
180127;2100;14;
180127;2200;12,7;
180127;2300;11,9;
180128;0000;11,1;
180128;0100;10,5;
180128;0200;9,5;
180128;0300;8,7;
180128;0400;8,39999;
180128;0500;7,7;
180128;0600;7,8;
180128;0700;10,8;
180128;0800;14,2;
180128;0900;16,8;
180128;1000;19,2;
180128;1100;20,9;
180128;1200;22,3;
180128;1300;24,3;
180128;1400;24,9;
180128;1500;24,4;
180128;1600;23,6;
180128;1700;22,4;
180128;1800;20,7;
180128;1900;19;
180128;2000;16;
180128;2100;14,1;
180128;2200;12,8;
180128;2300;11,9;
180129;0000;11,1;
180129;0100;10,6;
180129;0200;10,3;
180129;0300;10,2;
180129;0400;9,8;
180129;0500;8,8;
180129;0600;9,10001;
180129;0700;12,2;
180129;0800;14,8;
180129;0900;17,1;
180129;1000;19,1;
180129;1100;20,8;
180129;1200;22,3;
180129;1300;23,6;
180129;1400;22,8;
180129;1500;22,5;
180129;1600;21,4;
180129;1700;19,8;
180129;1800;18,1;
180129;1900;16,5;
180129;2000;15,3;
180129;2100;15;
180129;2200;14,7;
180129;2300;14,6;
180130;0000;14,4;
180130;0100;14,3;
180130;0200;14,1;
180130;0300;14,1;
180130;0400;14;
180130;0500;14,2;
180130;0600;14,3;
180130;0700;15,2;
180130;0800;17,2;
180130;0900;16,5;
180130;1000;16,6;
180130;1100;18,4;
180130;1200;19,8;
180130;1300;21,2;
180130;1400;22;
180130;1500;22,4;
180130;1600;22,2;
180130;1700;20,4;
180130;1800;18,8;
180130;1900;16,5;
180130;2000;14,2;
180130;2100;12,5;
180130;2200;11,5;
180130;2300;10,7;
180131;0000;9,60001;
180131;0100;9,89999;
180131;0200;9,89999;
180131;0300;8,89999;
180131;0400;8,3;
180131;0500;8,8;
180131;0600;9,10001;
180131;0700;11,2;
180131;0800;14,6;
180131;0900;17,7;
180131;1000;20,3;
180131;1100;22,6;
180131;1200;24,8;
180131;1300;26,5;
180131;1400;27,6;
180131;1500;27,5;
180131;1600;27,7;
180131;1700;27,5;
180131;1800;26,6;
180131;1900;23,3;
180131;2000;18,7;
180131;2100;15;
180131;2200;13,7;
180131;2300;13,4;
180201;0000;12,9;
180201;0100;12,4;
180201;0200;11,7;
180201;0300;11;
180201;0400;11;
180201;0500;10,1;
180201;0600;9,3;
180201;0700;12,8;
180201;0800;15,5;
180201;0900;18,9;
180201;1000;22,2;
180201;1100;25;
180201;1200;26,7;
180201;1300;28,4;
180201;1400;29,3;
180201;1500;30,4;
180201;1600;29,7;
180201;1700;28,7;
180201;1800;25,7;
180201;1900;22;
180201;2000;18,5;
180201;2100;16,5;
180201;2200;15,3;
180201;2300;14,6;
180202;0000;14;
180202;0100;13,5;
180202;0200;12,9;
180202;0300;12,3;
180202;0400;12;
180202;0500;11,7;
180202;0600;11,5;
180202;0700;12,1;
180202;0800;15,1;
180202;0900;18,5;
180202;1000;21,2;
180202;1100;23,4;
180202;1200;25,7;
180202;1300;26,5;
180202;1400;26,5;
180202;1500;25,9;
180202;1600;24,7;
180202;1700;23,7;
180202;1800;22,2;
180202;1900;18,5;
180202;2000;14,7;
180202;2100;14;
180202;2200;13,5;
180202;2300;13,1;
180203;0000;12,9;
180203;0100;12,8;
180203;0200;12,6;
180203;0300;12,3;
180203;0400;12;
180203;0500;11,8;
180203;0600;11,7;
180203;0700;12,2;
180203;0800;13,6;
180203;0900;15,7;
180203;1000;17,9;
180203;1100;19,9;
180203;1200;23,2;
180203;1300;25,3;
180203;1400;26,4;
180203;1500;27,4;
180203;1600;27,9;
180203;1700;25,6;
180203;1800;24,1;
180203;1900;22,2;
180203;2000;18,7;
180203;2100;16,6;
180203;2200;14,8;
180203;2300;13,9;
180204;0000;13,7;
180204;0100;13,2;
180204;0200;12,9;
180204;0300;12,8;
180204;0400;12,7;
180204;0500;12,4;
180204;0600;12,4;
180204;0700;12,4;
180204;0800;13,7;
180204;0900;17,5;
180204;1000;20,1;
180204;1100;22,6;
180204;1200;25,5;
180204;1300;27,1;
180204;1400;27,6;
180204;1500;28;
180204;1600;28;
180204;1700;26,8;
180204;1800;25;
180204;1900;21,9;
180204;2000;17,9;
