FECHA (YYMMDD);HORA (HHMM);
180113;1000;3,3
180113;1100;3,7
180113;1200;3,8
180113;1300;3,8
180113;1400;3,7
180113;1500;3,2
180113;1600;3,6
180113;1700;4,1
180113;1800;3,8
180113;1900;2,9
180113;2000;1,9
180113;2100;1,1
180113;2200;0,9
180113;2300;0,5
180114;0;0,5
180114;100;0,2
180114;200;0,1
180114;300;0,1
180114;400;0
180114;500;0,1
180114;600;0,4
180114;700;1,5
180114;800;1,8
180114;900;1,6
180114;1000;1,6
180114;1100;1,5
180114;1200;1,8
180114;1300;2,1
180114;1400;2,3
180114;1500;2,5
180114;1600;3,5
180114;1700;3,8
180114;1800;3
180114;1900;1,9
180114;2000;1,4
180114;2100;1,4
180114;2200;1
180114;2300;1
180115;0;0,8
180115;100;0,4
180115;200;0
180115;300;0,2
180115;400;0,2
180115;500;0,9
180115;600;0,6
180115;700;0,9
180115;800;1,3
180115;900;1
180115;1000;1,4
180115;1100;1,3
180115;1200;1,2
180115;1300;1,2
180115;1400;0,7
180115;1500;1,6
180115;1600;2,2
180115;1700;3,6
180115;1800;2
180115;1900;1,8
180115;2000;1,3
180115;2100;1,3
180115;2200;0,7
180115;2300;0,8
180116;0;1
180116;100;0,1
180116;200;0,3
180116;300;0,4
180116;400;0,1
180116;500;0
180116;600;0
180116;700;0,8
180116;800;1,2
180116;900;1,7
180116;1000;2,5
180116;1100;2,8
180116;1200;3,2
180116;1300;3,2
180116;1400;4
180116;1500;4,6
180116;1600;4,9
180116;1700;5
180116;1800;4,6
180116;1900;4,4
180116;2000;1,7
180116;2100;1,7
180116;2200;1,7
180116;2300;1,6
180117;0;1,2
180117;100;1,1
180117;200;1
180117;300;0,6
180117;400;0,2
180117;500;0,2
180117;600;0,3
180117;700;0,9
180117;800;1,6
180117;900;1,8
180117;1000;2,2
180117;1100;2,7
180117;1200;3,2
180117;1300;3,1
180117;1400;4,1
180117;1500;4,4
180117;1600;5,1
180117;1700;5,1
180117;1800;5
180117;1900;3,9
180117;2000;1,3
180117;2100;1,2
180117;2200;1,1
180117;2300;1,1
180118;0;0,5
180118;100;0,4
180118;200;0,6
180118;300;0,6
180118;400;0,6
180118;500;0,7
180118;600;0,9
180118;700;2,2
180118;800;2,4
180118;900;3,3
180118;1000;3,8
180118;1100;4,4
180118;1200;4,6
180118;1300;4,3
180118;1400;4,3
180118;1500;4,6
180118;1600;5,3
180118;1700;4,8
180118;1800;4,4
180118;1900;3,6
180118;2000;3,2
180118;2100;2
180118;2200;1,5
180118;2300;1,5
180119;0;1
180119;100;1,2
180119;200;1,2
180119;300;1,3
180119;400;1,6
180119;500;1,2
180119;600;1,3
180119;700;2,3
180119;800;2,3
180119;900;2,3
180119;1000;3,2
180119;1100;3,3
180119;1200;3,8
180119;1300;4,2
180119;1400;4,1
180119;1500;4,5
180119;1600;5
180119;1700;4,1
180119;1800;3,4
180119;1900;2,3
180119;2000;2,3
180119;2100;1,7
180119;2200;1,3
180119;2300;1,4
180120;0;0,9
180120;100;0,8
180120;200;0,9
180120;300;0,6
180120;400;0,8
180120;500;1
180120;600;0,8
180120;700;1,2
180120;800;1
180120;900;1,6
180120;1000;2,2
180120;1100;1,9
180120;1200;2,5
180120;1300;3
180120;1400;2,8
180120;1500;2,6
180120;1600;2,9
180120;1700;3,4
180120;1800;2,5
180120;1900;2,4
180120;2000;1,9
180120;2100;1,8
180120;2200;1,9
180120;2300;1,4
180121;0;1,2
180121;100;1
180121;200;1,1
180121;300;0,4
180121;400;0,6
180121;500;0,7
180121;600;0,8
180121;700;0,6
180121;800;1,2
180121;900;1
180121;1000;1,7
180121;1100;1,7
180121;1200;2,1
180121;1300;2,4
180121;1400;4,6
180121;1500;3,7
180121;1600;3,7
180121;1700;3,9
180121;1800;3,7
180121;1900;2,7
180121;2000;2,1
180121;2100;1,5
180121;2200;1,2
180121;2300;0,9
180122;0;0,9
180122;100;0,8
180122;200;1
180122;300;1,3
180122;400;1,3
180122;500;0,9
180122;600;1,1
180122;700;1
180122;800;1,3
180122;900;1,2
180122;1000;1,7
180122;1100;1,5
180122;1200;2,1
180122;1300;2,6
180122;1400;3,6
180122;1500;4,4
180122;1600;4,3
180122;1700;4,4
180122;1800;4,4
180122;1900;4,1
180122;2000;2,4
180122;2100;1
180122;2200;1,3
180122;2300;1,4
180123;0;1
180123;100;0,8
180123;200;1,1
180123;300;1,2
180123;400;0,5
180123;500;0,6
180123;600;0,7
180123;700;1
180123;800;1,6
180123;900;2,5
180123;1000;3,1
180123;1100;2,7
180123;1200;2,8
180123;1300;3
180123;1400;3,2
180123;1500;3,3
180123;1600;3,2
180123;1700;3,5
180123;1800;3,6
180123;1900;2,4
180123;2000;1,4
180123;2100;1,1
180123;2200;0,7
180123;2300;0,7
180124;0;0,5
180124;100;0,3
180124;200;0,4
180124;300;0,2
180124;400;0,5
180124;500;0,5
180124;600;0,5
180124;700;0,7
180124;800;1,5
180124;900;1,9
180124;1000;1,6
180124;1100;2,1
180124;1200;2,2
180124;1300;2,5
180124;1400;3,5
180124;1500;3,7
180124;1600;3,7
180124;1700;3,9
180124;1800;3
180124;1900;2,9
180124;2000;1,9
180124;2100;1,4
180124;2200;1,1
180124;2300;0,9
180125;0;1
180125;100;1,5
180125;200;1
180125;300;0,8
180125;400;0,6
180125;500;0,6
180125;600;0,9
180125;700;0,8
180125;800;0,8
180125;900;1,3
180125;1000;1,9
180125;1100;2
180125;1200;2
180125;1300;2,1
180125;1400;3,1
180125;1500;3,7
180125;1600;3,8
180125;1700;4,4
180125;1800;3,7
180125;1900;2,8
180125;2000;2,5
180125;2100;2,3
180125;2200;1,4
180125;2300;1,2
180126;0;1,6
180126;100;2,1
180126;200;2,5
180126;300;2,3
180126;400;2,1
180126;500;1,7
180126;600;1,2
180126;700;1,5
180126;800;1,5
180126;900;1,8
180126;1000;2,2
180126;1100;2,2
180126;1200;3
180126;1300;2,9
180126;1400;2,4
180126;1500;1,7
180126;1600;1,2
180126;1700;1,7
180126;1800;3,6
180126;1900;2,9
180126;2000;0,7
180126;2100;1
180126;2200;0,5
180126;2300;0,1
180127;0;0,2
180127;100;0,3
180127;200;0,5
180127;300;0,7
180127;400;1
180127;500;1,1
180127;600;0,6
180127;700;0,5
180127;800;0,8
180127;900;1,2
180127;1000;1,9
180127;1100;2,2
180127;1200;2,6
180127;1300;2,8
180127;1400;3
180127;1500;3,3
180127;1600;3,5
180127;1700;4,3
180127;1800;3,8
180127;1900;3,6
180127;2000;2,6
180127;2100;1,3
180127;2200;0,7
180127;2300;0,7
180128;0;0,7
180128;100;0,8
180128;200;0,3
180128;300;0,1
180128;400;0,1
180128;500;0
180128;600;0,2
180128;700;0,8
180128;800;1,7
180128;900;2,6
180128;1000;2,8
180128;1100;3,6
180128;1200;3,8
180128;1300;3,8
180128;1400;4,8
180128;1500;5,2
180128;1600;5,3
180128;1700;5,6
180128;1800;5,4
180128;1900;3,6
180128;2000;1,7
180128;2100;1,3
180128;2200;1,1
180128;2300;0,6
180129;0;0,5
180129;100;0,6
180129;200;0,6
180129;300;0,7
180129;400;0,4
180129;500;0,3
180129;600;0,5
180129;700;1,2
180129;800;2,2
180129;900;2,4
180129;1000;2,5
180129;1100;2,5
180129;1200;2,7
180129;1300;3,3
180129;1400;3,8
180129;1500;4,1
180129;1600;4,2
180129;1700;4
180129;1800;3,3
180129;1900;2,5
180129;2000;2,3
180129;2100;2
180129;2200;1,8
180129;2300;1,4
180130;0;1,6
180130;100;1,7
180130;200;0,8
180130;300;0,4
180130;400;0,7
180130;500;1,1
